,month_year,numusers,tool_name_version
372, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
373, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
374, 2021-05 ,       20,gd_filter_gd_snp/1.2.0                                                        
375, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
376, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
377, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
378, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
379, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
380, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
381, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
382, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
383, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
384, 2021-05 ,       19,gd_filter_gd_snp/1.2.0                                                        
385, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
386, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
387, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
388, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
389, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
390, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
391, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
392, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
393, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
394, 2021-05 ,       18,gd_filter_gd_snp/1.2.0                                                        
395, 2021-05 ,       17,gd_filter_gd_snp/1.2.0                                                        
396, 2021-05 ,       17,gd_filter_gd_snp/1.2.0                                                        
397, 2021-05 ,       17,gd_filter_gd_snp/1.2.0                                                        
398, 2021-05 ,       17,gd_filter_gd_snp/1.2.0                                                        
399, 2021-05 ,       17,gd_filter_gd_snp/1.2.0                                                        
